,transcript,user_action
190,change all the lights to fifty,SetLightBrightness
191,dim docades bedroom likhts,DecreaseBrightness
192,dimmed the lights in the cubicle,DecreaseBrightness
193,dim the lights in the garden,DecreaseBrightness
194,dining room light at thirty nine,SetLightBrightness
195,dining room lights at twenty two per cent,SetLightBrightness
196,dining room lights off please,SwitchLightOff
197,dining room needs to be at twelve per cent,SetLightBrightness
198,o not waste the lights decrease it please,DecreaseBrightness
199,double the brightness,IncreaseBrightness
200,entrance light level to ten,SetLightBrightness
201,change back yaird liking to ping please,SetLightColor
202,enten sides to pink pleace,SetLightColor
203,entrance should be lit at intensity too,SetLightBrightness
204,garage lights to redpleys,SetLightColor
205,get the bedd dark,SwitchLightOff
206,get the light on now please,SwitchLightOn
207,give me light said the kitchen,SwitchLightOn
208,green is what i would like to the lights to be rate now,SetLightColor
209,green lights in the liaving room,SetLightColor
210,green lights on in living room,SetLightColor
211,half it be less bright,DecreaseBrightness
212,changed child's bedroom to have redlahtes,SetLightColor
213,help me turn down the lake,DecreaseBrightness
214,help me dand down the late in the celelare,DecreaseBrightness
215,hey bright in the bedroom,IncreaseBrightness
216,i cannotrstand darkness turned up the brightness now,IncreaseBrightness
217,i need life,SwitchLightOn
218,they need light on in the kitcren,SwitchLightOn
219,meed to brighten up the meeting room,SwitchLightOn
220,i mall the lads weeping ron to beblu,SetLightColor
221,i want to turn the lades,SwitchLightOn
222,i want you to make the light deamer,DecreaseBrightness
223,gant colord bupling,SetLightColor
224,i would like the bestyo to get some laden at,SwitchLightOn
225,illuminate cellar,SwitchLightOn
226,illuminate the kidsroom,SwitchLightOn
227,in my kid's bedroom changed the brightness to fifty,SetLightBrightness
228,and my kid's room turned the lights off,SwitchLightOff
229,in the back yard the lights need to be pink,SetLightColor
230,increased brakness in that lang,IncreaseBrightness
231,increase brightness in the studio,IncreaseBrightness
232,increased the brightness of light,IncreaseBrightness
233,crease flighting in the garage,IncreaseBrightness
234,change kids rom white to pink,SetLightColor
235,increase the brightness,IncreaseBrightness
236,increase the braveness in yer,IncreaseBrightness
237,increased the breatness in the basement,IncreaseBrightness
238,increase the brightness of entrance,IncreaseBrightness
239,increased the brightness of the grage,IncreaseBrightness
240,increased e braidness af te lights,IncreaseBrightness
241,increased the brightness on the patio,IncreaseBrightness
242,is it possible to tand down the lake,DecreaseBrightness
243,is it possible to turn down the light in the living room,DecreaseBrightness
244,it's darken here,SwitchLightOn
245,change the laundry room lights to pivecles,SetLightBrightness
246,getting so darken here can you put the lights up,IncreaseBrightness
247,t's pretty bright in here is there are possibility you can turn the lights ten,DecreaseBrightness
248,it's pretty dark here why don't you turn the lights up,IncreaseBrightness
249,so dark in here please turn up the lights just a little,IncreaseBrightness
250,twat too brightin here turned on the brightness please,DecreaseBrightness
251,kate's bedroom likes to rend please,SetLightColor
252,heaturn lights on now,SwitchLightOn
253,kitchen no more lights,SwitchLightOff
254,landy room brightnass fayou,SetLightBrightness
255,learndridl late son,SwitchLightOn
256,change light color to pink,SetLightColor
257,laundry room lights to two,SetLightBrightness
258,let there be light,SwitchLightOn
259,labl pignestinpesent u,SetLightBrightness
260,light arn in the bath room,SwitchLightOn
261,light up grage,SwitchLightOn
262,lighting up he de lu,IncreaseBrightness
263,lights are off,SwitchLightOff
264,lights at seventy three in the bedroom pleace,SetLightBrightness
265,lights need brightened in the lounge,IncreaseBrightness
266,lights off changing room,SwitchLightOff
267,retain light colored looping,SetLightColor
268,lights off for entire house,SwitchLightOff
269,lightfouf in the garden,SwitchLightOff
270,light fow in the toilets,SwitchLightOff
271,lights on,SwitchLightOn
272,like john please like john please,SwitchLightOn
273,light should be set at level twenty two,SetLightBrightness
274,lig its way down in small meeting room,SwitchLightOff
275,living room lights of,SwitchLightOff
276,the lliving lights on for now please,SwitchLightOn
277,changed the light level to twenty in the bedroom,SetLightBrightness
278,lounge lights on please,SwitchLightOn
279,rorcud's bedroom lights,DecreaseBrightness
280,lower lights brightness,DecreaseBrightness
281,noble debrightness,DecreaseBrightness
282,lover the brightness of light bunt,DecreaseBrightness
283,bowin te light in a children's play room,DecreaseBrightness
284,ne quolicigs of unlights red colored,SetLightColor
285,make all lights pink an color,SetLightColor
286,make it darker in here,DecreaseBrightness
287,make it darker in the waiting room,DecreaseBrightness
288,i'm just the brightness to twenty two,SetLightBrightness
289,change lights and grods till evele five,SetLightBrightness
290,make it less bright in the bedroom,DecreaseBrightness
291,make it lighter in here,IncreaseBrightness
292,make it to the loungelight es pink,SetLightColor
293,make lat read,SetLightColor
294,make the light blue,SetLightColor
295,make the light colar to pink,SetLightColor
296,make the light pink,SetLightColor
297,make the light read,SetLightColor
298,make the lights go off,SwitchLightOff
299,make the lights read in the office,SetLightColor
300,change lights to blue,SetLightColor
301,make delights to level thirty two,SetLightBrightness
302,make the living room lighter,IncreaseBrightness
303,make the sturiolates braiter,IncreaseBrightness
304,martifi bretnasof living room laid bal two seventy three,SetLightBrightness
305,modify the color of allightbolds to pink,SetLightColor
306,need light,SwitchLightOn
307,made light in the kitchen,SwitchLightOn
308,no more light in here,SwitchLightOff
309,pantry light levels should be two per cent,SetLightBrightness
310,pandry lats off,SwitchLightOff
311,changelate to pink,SetLightColor
312,pantry make it dark,SwitchLightOff
313,parking lights on please,SwitchLightOn
314,pettyill ligts please,SwitchLightOn
315,padiolights turned on,SwitchLightOn
316,pink lides near a kitchen please,SetLightColor
317,please brightened the lounge,IncreaseBrightness
318,please brighten up the dining room,SwitchLightOn
319,pleased in the lights,DecreaseBrightness
320,please give me lights,SwitchLightOn
321,please give me lights in the kitchen,SwitchLightOn
322,change lights to read,SetLightColor
323,please give me some light,SwitchLightOn
324,please give me some light in the kitchen,SwitchLightOn
325,please increase the brightness,IncreaseBrightness
326,please increase the light brightness everywhere,IncreaseBrightness
327,please increase the meeting room brightness,IncreaseBrightness
328,please lord bisman likes,DecreaseBrightness
329,please make the light blue,SetLightColor
330,please make the best you'll light read umh,SetLightColor
331,reave nee to mite,SwitchLightOn
332,freed me srome light in the kitchen,SwitchLightOn
333,change lue lights to pink for me,SetLightColor
334,lea some ligkt,SwitchLightOn
335,play some light in the kitchen,SwitchLightOn
336,blis wich the letterf or lights to git in,SetLightColor
337,pleas swish lights off,SwitchLightOff
338,please switch off lounge lates,SwitchLightOff
339,please switch off the kitchen lights after you cook,SwitchLightOff
340,please whit you off the studio lights,SwitchLightOff
341,please the increase the brightness it's too dark,IncreaseBrightness
342,please turn down the light for me,DecreaseBrightness
343,please turn lights on,SwitchLightOn
344,ce te meeting room lade sto pink,SetLightColor
345,please turn of laundry room late,SwitchLightOff
346,he's turned off lights everywhere,SwitchLightOff
347,please turn off parking lights,SwitchLightOff
348,please turn off the house lights,SwitchLightOff
349,peternal flight,SwitchLightOff
350,please turtle off the lights of the kine room,SwitchLightOff
351,please turn on the lights,SwitchLightOn
352,he's turned on the lights of changing room,SwitchLightOn
353,theys turn the pantry lights to level thirty nine,SetLightBrightness
354,put on the cerial bulbs in the dining room,SwitchLightOn
355,change office lates to peaque please,SetLightColor
356,wat dhe light sing ta office on a grim,SetLightColor
357,put the lights on the vegetable,SwitchLightOn
358,reduced brightness of lightbult,DecreaseBrightness
359,so let green light,SetLightColor
360,said britness af or lade to fifteen,SetLightBrightness
361,set bratnas off host to fifty,SetLightBrightness
362,seid brightness to five,SetLightBrightness
363,set light a level twenty two,SetLightBrightness
364,set the bedroom lights to thirty nine,SetLightBrightness
365,set the colour of meeting room lights to blue,SetLightColor
366,set the lights to ten in the vastibule,SetLightBrightness
367,can you please turn down the lights,DecreaseBrightness
368,set the lights to the own position,SwitchLightOn
369,set the lights to twenty two in the office,SetLightBrightness
370,set the lights to twenty two per cent,SetLightBrightness
371,set delights to zero brightness,SwitchLightOff
372,set the lights to zero brightness in the office,SwitchLightOff
373,set the living rooms light to twenty,SetLightBrightness
374,send that beshu light to fight,SetLightBrightness
375,set the vesetible lights to level thirty nine,SetLightBrightness
376,shine some light in here,SwitchLightOn
377,find some lightin her,SwitchLightOn
378,can you put light on in the backyard,SwitchLightOn
379,shines some lights in the office,SwitchLightOn
380,chine the lights at level twelve,SetLightBrightness
381,shed down the kits by doom light,SwitchLightOff
382,shut down the lights,SwitchLightOff
383,shut off the lights at the entrance,SwitchLightOff
384,shut off the lights in the gruge,SwitchLightOff
385,shut off the lights in the lu,SwitchLightOff
386,shet off the lights please,SwitchLightOff
387,shut off the lounge lights,SwitchLightOff
388,shut the lights down in the bathroom,SwitchLightOff
389,can you put the lits totwev in the cubico,SetLightBrightness
390,shut the lights down in the entrance,SwitchLightOff
391,shut the lights off,SwitchLightOff
392,sir in the office pleased set the connected lapebolds to brightness of ten,SetLightBrightness
393,sir pleasd set the brightness of the connected lights to bolb to fifty,SetLightBrightness
394,situate delights to thirty nine per cent in the cubicle,SetLightBrightness
395,stop lighting the cubicle,SwitchLightOff
396,stop the lights,SwitchLightOff
397,stop the lights from shining in the bathroom,SwitchLightOff
398,stor the lights from shining in the shed,SwitchLightOff
399,change the back yard late to green,SetLightColor
400,lecl inquentity of the tubelight to tuperfont,SetLightBrightness
401,set the lights in the changing room to level twenty two,SetLightBrightness
402,set the living room lights to ten per cent,SetLightBrightness
403,said the panty brightness to don't he,SetLightBrightness
404,seventy three is what brightness should be,SetLightBrightness
405,shut off the kitchen light,SwitchLightOff
406,so much darkness in here turn up the bulbs,IncreaseBrightness
407,some wihte,SwitchLightOn
408,some light in the kitchen,SwitchLightOn
409,some lights in the kitchen,SwitchLightOn
410,changed the basement brightness to seventy three,SetLightBrightness
411,studio lights off,SwitchLightOff
412,sturdio lights on please,SwitchLightOn
413,switch bath ro lites off,SwitchLightOff
414,switch house lights off,SwitchLightOff
415,twig lihes of,SwitchLightOff
416,switch lights on,SwitchLightOn
417,switch lights on investiule,SwitchLightOn
418,sweet off laundry room light am,SwitchLightOff
419,swit of the batroom lades,SwitchLightOff
420,fit off the lamp's please,SwitchLightOff
421,change the basement brightness to two,SetLightBrightness
422,switch off the light in the toilet,SwitchLightOff
423,switch off the lights,SwitchLightOff
424,which av best to bel like all,SwitchLightOff
425,switched the garrage light to pink,SetLightColor
426,switched the lamps off,SwitchLightOff
427,swish the like to bloom,SetLightColor
428,take all lights off as soon as possible,SwitchLightOff
429,the back yard is too bright an you turned it down a little,DecreaseBrightness
430,the butroom lights need change to blue,SetLightColor
431,the babron lives need to glowred,SetLightColor
432,a just the sello lights to twenty two,SetLightBrightness
433,change the betroo lights the blue,SetLightColor
434,the ballroom is done take off the light,SwitchLightOff
435,the cellar is cold and dark pleas turn up the brightness,IncreaseBrightness
436,the house is getting too little light turn off the brightness please,IncreaseBrightness
437,the kitchen should not be so bright,DecreaseBrightness
438,the large mitting room needs to be turned off,SwitchLightOff
439,the light is too bright so turn it down the light is too bright so turn it down,DecreaseBrightness
440,light need to be blue in the studio,SetLightColor
441,the lieu has too much lights,DecreaseBrightness
442,the lu is a little dark turn up the brightness a little,IncreaseBrightness
443,the office has too much light it needs to be turned down,DecreaseBrightness
444,changed the brightness of the lights to twenty two percent,SetLightBrightness
445,the office is a little too dark ese turn on the lights,IncreaseBrightness
446,the parking area kneed the lights off,SwitchLightOff
447,the shed needs more light,IncreaseBrightness
448,the sun is going down and its getting dark turn the lights up,IncreaseBrightness
449,the toilets are too bright turn the lights down,DecreaseBrightness
450,there is no one in the living room take the lights off,SwitchLightOff
451,this entire apartment is in darkness you need to turn the light brightness up,IncreaseBrightness
452,this room is pretty dark just turned down the brightness,IncreaseBrightness
453,toiligt light change to level thirty nine,SetLightBrightness
454,dernarlkichen not sto pinkeler,SetLightColor
455,changed se brightness to fifty in the entire apartment,SetLightBrightness
456,turn all light bulbs into pink colour,SetLightColor
457,turn bath from lights up,IncreaseBrightness
458,turn bedroom red,SetLightColor
459,uned on the lighting in the pantry,DecreaseBrightness
460,turn down mites everywhere,DecreaseBrightness
461,turned down the brightness level of lightbults,DecreaseBrightness
462,turned owt the lamps a bit,DecreaseBrightness
463,turn them the light to tad bit please,DecreaseBrightness
464,tand on the late in the entrance room,DecreaseBrightness
465,don't evlu,SetLightColor
466,gn gabitness ben poit belind cloten ha,SetLightBrightness
467,turn lates ride,SetLightColor
468,tar loatup in hose,IncreaseBrightness
469,tan ouf all by doom lamp's place,SwitchLightOff
470,turn off bedroom lates,SwitchLightOff
471,dont off dining room light,SwitchLightOff
472,turn off rights and lieu,SwitchLightOff
473,down afhr lamps,SwitchLightOff
474,turn off the lights,SwitchLightOff
475,turn off the lights in the bedroom,SwitchLightOff
476,dun't off doll it late,SwitchLightOff
477,change the brightness to twenty,SetLightBrightness
478,turned off te seihts of burtitan,SetLightBrightness
479,turn on kitchen lights,SwitchLightOn
480,turn on the tainting room lights,SwitchLightOn
481,turn on the gardenlight,SwitchLightOn
482,terribble voice,SwitchLightOn
483,turn on the lights of the bed,SwitchLightOn
484,turn on ha lights in the children room,SwitchLightOn
485,turn on the lights urgently,SwitchLightOn
486,don't stood your light up,SwitchLightOn
487,though the basement lighes move,SetLightColor
488,change the brightness to two,SetLightBrightness
489,tan to brigt this down,DecreaseBrightness
490,turn the garden lights to brightness too please,SetLightBrightness
491,turn the house light pink,SetLightColor
492,dand the lad down in the backyard,DecreaseBrightness
493,tanned the light down in the bedroom,DecreaseBrightness
494,turn the light down in the paddle,DecreaseBrightness
495,turn the lihe down,DecreaseBrightness
496,handl it off,SwitchLightOff
497,on the legs tred,SetLightColor
498,turn the lights up,IncreaseBrightness
499,changed the bulbs to twelve per set in brightness,SetLightBrightness
500,turnd a treelight pink,SetLightColor
501,turn up light and basement,IncreaseBrightness
502,turn of lights and flet,IncreaseBrightness
503,turn up the brightness,IncreaseBrightness
504,turn up the brightness in the patio,IncreaseBrightness
505,dan up the brakness in the studio,IncreaseBrightness
506,down up the late in the kiten,IncreaseBrightness
507,why is everywhere so dark ye need to turn up the brightness,IncreaseBrightness
508,why is it so bright in here please turn it down a notch,DecreaseBrightness
509,why is there are no lights in the waiting room turn it out please,IncreaseBrightness
510,chaned the garara flash too red,SetLightColor
511,will you turn the brightness to level thirty nine,SetLightBrightness
512,change the color of the lights to blue in the dining room,SetLightColor
513,change the colour of the lights to blue,SetLightColor
514,adjust the change of room intensity of the lighting to two per sent,SetLightBrightness
515,change the color of the late to green,SetLightColor
516,tis the gollod of the lade too pinkles,SetLightColor
517,changed the color to blue,SetLightColor
518,change the collars to pink,SetLightColor
519,change the cupical light sub to ten,SetLightBrightness
520,change the grage lights to peak,SetLightColor
521,change the kid's bedroom light bulb color to green,SetLightColor
522,change the kitchen lights to green,SetLightColor
523,ceing the lion grivoncaler togren,SetLightColor
524,change the laundry room lights to green,SetLightColor
525,addressed the glow of the balb to level two,SetLightBrightness
526,tilin the larmbrivom lid storead,SetLightColor
527,changed the light blue,SetLightColor
528,change the light color to pink pleace,SetLightColor
529,change the light setting to on,SwitchLightOn
530,change the light to blue,SetLightColor
531,change the light to pink,SetLightColor
532,changed alike to pink,SetLightColor
533,change the lighting of the pantry to thirty nine,SetLightBrightness
534,thinin the lighting to dim,DecreaseBrightness
535,change aliting to fifty in the facilites,SetLightBrightness
536,addressed te kid's lighting to ten,SetLightBrightness
537,change the light's gream,SetLightColor
538,change the lights in the child's bedroom to pink,SetLightColor
539,change the lights an the entrance to blue,SetLightColor
540,change the lights in the kid's bedroom to blue,SetLightColor
541,changed the lights in the parking area to green,SetLightColor
542,change t lights in the parking room,SwitchLightOff
543,chain the lates in the tilet green,SetLightColor
544,change the lights into blue,SetLightColor
545,change delights to green please,SetLightColor
546,change the lights to pink please,SetLightColor
547,active garden lights,SwitchLightOn
548,adjust the laundry room lighting tol evel thirty nine,SetLightBrightness
549,change the lights to pink,SetLightColor
550,change the lights to red,SetLightColor
551,change the lights to red in the parking section,SetLightColor
552,change the living room lights to twenty,SetLightBrightness
553,change the office light to pink,SetLightColor
554,changed the office lights to fiftfeet,SetLightBrightness
555,changed the parking room to green,SetLightColor
556,changed ha vestibule lighting to two per cent,SetLightBrightness
557,change the yard lights to green,SetLightColor
558,change toilets light color to red,SetLightColor
559,adjust the lighting to level twenty two,SetLightBrightness
560,click on the lights,SwitchLightOn
561,color change lights to red,SetLightColor
562,collar lat spink,SetLightColor
563,color lights red,SetLightColor
564,color the gits mitrel read,SetLightColor
565,color the lights red,SetLightColor
566,culd you change the brightness of the lights on the patio to seventy three,SetLightBrightness
567,could you change the light to red,SetLightColor
568,could you increase the brightness of the lights,IncreaseBrightness
569,could you increase the light bitness in the dining room,IncreaseBrightness
570,ajust the light sorce less bright,DecreaseBrightness
571,could you make the lights in the basement brighter,IncreaseBrightness
572,could you please turn my lights on,SwitchLightOn
573,could you please turn the light on i'm pome,SwitchLightOn
574,could you switch on some lights,SwitchLightOn
575,could you turn down the bedroom lights,DecreaseBrightness
576,could you turn the lights on please,SwitchLightOn
577,but no fouled without ilight,SwitchLightOff
578,cut the waiting room might,SwitchLightOff
579,dark in the waiting room,SwitchLightOff
580,deprise brightness,DecreaseBrightness
581,adjust lights to the offsitting,SwitchLightOff
582,decreished brightness in bethe room,DecreaseBrightness
583,decreased brightness in boardroom by one third,DecreaseBrightness
584,decrease brightness please,DecreaseBrightness
585,the crees light bridness in kitton,DecreaseBrightness
586,decrease light brightness please,DecreaseBrightness
587,creat sligts in house,DecreaseBrightness
588,decrease the brightness,DecreaseBrightness
589,decrease the brightness of the bulds,DecreaseBrightness
590,increased the brightness of lights in shed,DecreaseBrightness
591,adjust a living room brightness to level twoo,SetLightBrightness
592,decrease the brightness please,DecreaseBrightness
593,decrease the intensity of the lights,DecreaseBrightness
594,decreased the intensity of the lights in the kids bedroom,DecreaseBrightness
595,decreased the intensity of the pantry writing,DecreaseBrightness
596,decreased the light brightness in the cubicle,DecreaseBrightness
597,decreased a light intensity,DecreaseBrightness
598,decreased a light intensity in the entrance,DecreaseBrightness
599,decreased the light intensity in the entrance to zero,SwitchLightOff
600,decreased the light intensity in the office,DecreaseBrightness
601,decrease the light intensity in the vestibule to zero,SwitchLightOff
602,adjust the pint you like to blue,SetLightColor
603,decrease the light intensity to zero,SwitchLightOff
604,decrease the lighting in the laundry room,DecreaseBrightness
605,decrease the lighting so it's not so bright,DecreaseBrightness
606,decrease the light's intensity in my bedroom balcony,DecreaseBrightness
607,dim lights please,DecreaseBrightness
608,an light please,DecreaseBrightness
609,dimde kip thron,DecreaseBrightness
610,dimmed the light in the kid's bedroom,DecreaseBrightness
611,demn the lighting completely in the waiting room,SwitchLightOff
612,dim the lights,DecreaseBrightness
613,i've just the pantry lighting tulevel thirty nine,SetLightBrightness
614,dim the lights completely in the living room,SwitchLightOff
615,dim the lights for me,DecreaseBrightness
616,dimm the lights in the backyard,DecreaseBrightness
617,dim the lights in the bathroom,DecreaseBrightness
618,tim's delights in the grage,DecreaseBrightness
619,dim the lights in the living room,DecreaseBrightness
620,then the light's place,DecreaseBrightness
621,and the lights place,DecreaseBrightness
622,dimelytes,DecreaseBrightness
623,dim the studio lighting,DecreaseBrightness
624,adjest a toilet lighting to the two setting,SetLightBrightness
625,do me a faver and turn the lates an,SwitchLightOn
626,do turn ot on my bedroom lighe now,SwitchLightOn
627,don't forget to turn off the lights in the studio,SwitchLightOff
